id,first_name,last_name,Hourly rate,Hours worked,ip_address
1,Cherey,Dearnly,13.42,32,17.249.95.80
2,Dodi,Skaife d'Ingerthorpe,8.15,33,174.40.21.22
3,Annadiana,Mithan,10.91,12,34.134.250.3
4,Bobby,Ratlee,9.01,24,25.27.100.222
5,Terrill,Casterton,7.27,36,6.21.211.136
6,Sheba,Hoy,15.77,29,213.118.13.84
7,Micky,Pipe,18.54,9,246.75.153.240
8,Joya,Nore,11.68,25,12.193.205.53
9,Corny,Gilcrist,15.57,25,154.19.32.97
10,Cass,Kleinzweig,14.17,20,75.223.21.238
11,Ermanno,Cinnamond,14.28,12,216.32.107.164
12,Jasmin,Ruseworth,12.11,17,76.161.121.219
13,Jamie,Calwell,10.8,18,8.33.85.141
14,Gaston,Dickins,11.81,33,22.146.198.240
15,Costa,Iacobucci,9.78,30,16.186.33.119
16,Mirabella,Hazelby,18.24,12,21.252.124.164
17,Franz,Kalinowsky,8.06,40,146.111.186.142
18,Blane,Dupey,18.88,37,140.124.187.84
19,Shana,Jacklings,15.24,36,62.10.68.122
20,Mildrid,Bart,14.31,37,155.13.215.72
21,Erica,Bristo,18.49,28,172.8.178.215
22,Joshuah,Molden,16.97,28,15.237.87.197
23,Darby,Durnall,7.97,16,122.91.99.207
24,Felicdad,Pexton,16.83,9,108.151.68.195
25,Borg,Berre,11.35,28,99.31.19.74
26,Symon,Hales,8.97,40,242.165.74.233
27,Shaine,Hartzenberg,9.39,19,125.138.76.198
28,Marian,Baish,8.87,37,147.70.142.124
29,Kandace,Becke,8.52,9,247.12.81.60
30,Iago,Konmann,16.77,17,162.60.200.105
31,Tamiko,Cleall,14.47,17,35.169.90.97
32,Cristiano,Robertis,8.07,13,76.207.6.25
33,Brant,Philler,18.49,36,123.69.60.215
34,Kienan,Prater,14.17,30,112.57.24.141
35,Marja,Lages,12.39,39,38.215.60.68
36,Helena,Vowels,10.5,26,169.192.143.248
37,Felita,MacFie,18.14,25,192.98.112.194
38,Cammy,Goodrich,8.95,37,84.219.59.62
39,Tracie,Fosten,14.2,15,8.68.16.45
40,Arlene,Urey,15.38,9,103.198.195.2
41,Christophe,Barlee,8.86,17,164.132.179.241
42,Maxy,Shearsby,16.64,10,130.152.10.45
43,D'arcy,Rosario,7.72,37,9.12.72.217
44,Brigitte,Wylie,15.49,16,120.107.51.211
45,Marlane,Asbery,8.13,10,170.23.130.109
46,Cherye,Shoubridge,11.58,8,224.56.89.159
47,Nada,Towriss,9.03,8,30.15.11.45
48,Nevin,Beckles,8.3,24,22.172.230.41
49,Suellen,Galbreth,16.5,12,113.121.202.204
50,Preston,Lockhead,9.78,32,98.217.85.250
51,Roxanne,Reddie,14.79,19,6.15.141.219
52,Felita,Iscowitz,10.7,22,14.103.241.22
53,Rose,Josephov,9.39,32,93.82.158.8
54,Alberto,D'Agostino,8.46,39,34.199.14.217
55,Luigi,Wentworth,18.53,37,1.160.125.250
56,Huberto,Johnston,12.33,36,249.92.240.248
57,Cecilio,Pankethman,17.82,14,188.130.154.251
58,Whittaker,Talton,8.48,11,135.248.124.157
59,Ebenezer,Schwerin,15.8,15,75.124.222.217
60,Cora,Meni,15.64,17,71.81.61.145
61,Rhona,Kenderdine,18.11,30,94.96.56.150
62,Vanni,Hanster,18.0,20,48.47.23.208
63,Babette,Charlesworth,12.85,13,156.112.196.193
64,Silas,Manuello,14.41,38,101.245.97.201
65,Walt,Nutkin,18.84,9,246.106.142.75
66,Joyous,Duddin,11.31,29,93.189.161.176
67,Dorri,Baldazzi,11.85,8,5.59.214.15
68,Francine,Hebbes,18.94,40,16.72.202.89
69,Daryl,Maber,14.3,11,208.95.220.27
70,Rafe,Hulcoop,7.34,37,127.64.89.79
